Dte,Barris,Total,UnaPlanta,DuesPlantes,TresPlantesOMes
BARCELONA,,849.705,46.572,15.131,8.494
1,1. el Raval,22.653,419,94,14
1,2. el Barri Gòtic,10.387,48,..,..
1,3. la Barceloneta,9.202,..,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",15.259,246,28,191
2,5. el Fort Pienc,16.37,369,20,..
2,6. la Sagrada Família,29.54,404,234,1.469
2,7. la Dreta de l'Eixample,30.979,1.855,414,757
2,8. l'Antiga Esquerra de l'Eixample,27.883,589,236,741
2,9. la Nova Esquerra de l'Eixample,32.802,1.680,108,66
2,10. Sant Antoni,22.517,508,20,25
3,11. el Poble Sec - AEI Parc Montjuïc,20.816,520,83,58
3,12. la Marina del Prat Vermelll - AEI Zona Franca,565.0,..,..,..
3,13. la Marina de Port,13.547,1.464,477,60
3,14. la Font de la Guatlla,5.166,93,..,..
3,15. Hostafrancs,8.734,32,..,..
3,16. la Bordeta,9.113,191,..,..
3,17. Sants - Badal,12.661,227,319,238
3,18. Sants,23.177,631,536,139
4,19. les Corts,24.655,3.882,2.831,1.802
4,20. la Maternitat i Sant Ramon,12.091,1.502,960,200
4,21. Pedralbes,5.362,1.809,1.375,426
5,"22. Vallvidrera, el Tibidabo i les Planes",1.529,277,78,..
5,23. Sarrià,12.125,650,40,57
5,24. les Tres Torres,6.98,289,75,11
5,25. Sant Gervasi - la Bonanova,12.904,572,55,14
5,26. Sant Gervasi - Galvany,27.047,2.922,536,373
5,27. el Putxet i el Farró,16.829,791,80,59
6,28. Vallcarca i els Penitents,8.207,631,126,28
6,29. el Coll,3.785,742,149,68
6,30. la Salut,6.359,201,118,..
6,31. la Vila de Gràcia,34.05,295,74,27
6,32. el Camp d'en Grassot i Gràcia Nova,18.908,342,22,..
7,33. el Baix Guinardó,13.18,588,115,..
7,34. Can Baró,4.89,521,54,47
7,35. el Guinardó,19.666,1.735,755,232
7,36. la Font d'en Fargues,4.477,815,119,96
7,37. el Carmel,15.543,1.403,861,437
7,38. la Teixonera,5.798,575,332,378
7,39. Sant Genís dels Agudells,3.369,886,380,189
7,40. Montbau,2.486,309,..,..
7,41. la Vall d'Hebron,2.467,163,..,..
7,42. la Clota,229.0,..,..,..
7,43. Horta,12.881,827,168,12
8,44. Vilapicina i la Torre Llobeta,13.082,416,375,..
8,45. Porta,12.07,937,286,..
8,46. el Turó de la Peira,7.369,1.115,453,111
8,47. Can Peguera,1.139,..,..,..
8,48. la Guineueta,7.019,522,..,..
8,49. Canyelles,3.076,53,..,..
8,50. les Roquetes,6.973,443,37,35
8,51. Verdun,6.261,191,..,..
8,52. la Prosperitat,12.909,790,46,..
8,53. la Trinitat Nova,3.133,512,..,..
8,54. Torre Baró,839.0,10,..,..
8,55. Ciutat Meridiana,4.038,2.129,..,..
8,56. Vallbona,541.0,13,..,..
9,57. la Trinitat Vella,4.028,133,137,..
9,58. Baró de Viver,1.124,21,..,..
9,59. el Bon Pastor,5.446,113,..,..
9,60. Sant Andreu,27.684,798,55,19
9,61. la Sagrera,14.051,119,164,..
9,62. el Congrés i els Indians,7.03,..,..,13
9,63. Navas,10.967,2.037,1.391,59
10,64. el Camp de l'Arpa del Clot,20.859,406,70,..
10,65. el Clot,13.193,493,65,21
10,66. el Parc i la Llacuna del Poblenou,7.158,110,..,..
10,67. la Vila Olímpica del Poblenou,4.415,67,..,..
10,68. el Poblenou,16.79,143,128,..
10,69. Diagonal Mar i el Front Marítim del Poblenou,6.414,11,..,..
10,70. el Besòs i el Maresme,9.59,524,..,..
10,71. Provençals del Poblenou,9.366,857,..,..
10,72. Sant Martí de Provençals,12.551,1.089,41,..
10,73. la Verneda i la Pau,13.402,511,..,..
